address,time_stamp,user,collateral,debt,n1,n2,liquidation_discount,transaction_hash
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-21 04:06:23,0x050f60248ded87b7bcbbaadf4db9d69d7664c2a0,480386194819719952,787005717890781912449,-1,8,60000000000000000,0x90e534f4879fbc33c7b7196c9d8dbd3beb203304b2521027f4164ced9a5737ef
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-21 04:23:23,0x050f60248ded87b7bcbbaadf4db9d69d7664c2a0,893517290131481795,787006430374633459086,60,69,60000000000000000,0x2e2c030ca3493191cb7ba0ee04661a4d30891aee958ab2feab6f845e0395cc00
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-21 04:49:35,0x99ed04c212dd3929e9063bd78b26ef41858cb62c,41315484721037779941,60000839598616981095650,11,20,60000000000000000,0x09bf634c496eef8db38d4726856f70ecc75f3b5cbd00a14fa66a317832b4fece
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-21 06:20:59,0x1101f58563ee35ba816430c37abef8470ae28c68,2882270132156313849,1000000000000000000000,153,162,60000000000000000,0x597ec89bc53b785e0d1ef8148416d9a2e2d8300799e9a1af4852bc1afa64cdeb
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-21 06:29:23,0x3c80a011d6dc046c46304c456e7f713e2efe2541,321638344001370974910,534771991693243368629408,0,4,60000000000000000,0x01036a002433d7d8bb186fa4219c6e659916db64f22a70fd4b250fc31e917076
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-21 07:14:47,0x3de338ecd19234437bdd453b841867c5a6e56056,2882251644942228053,4000000000000000000000,15,24,60000000000000000,0x15176e81a370f45a404dec2f8b020594fea6b4eb6efd741eb072b45dd48d36b2
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-21 07:30:23,0x050f60248ded87b7bcbbaadf4db9d69d7664c2a0,893517290131481795,1449206650589351763435,0,9,60000000000000000,0xdb10254d16e26fa326c01440fb215f8db5ca7284b37f5869e3fc63716a78916c
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-21 11:18:47,0xd0c096ac82eba8d7a26f96ffc34b4e3bba3a1122,5951783342382399311,7513964046639389354090,22,36,60000000000000000,0xa7a46c8d49b774babc986cb4a4f9d3f678fa4b679360c07208f7728dcf2a1595
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-21 13:43:11,0xfdc7407dcccacc2c70a9a3f01fa47ee799e1c0a2,5044015082250515349,5000000000000000000000,49,58,60000000000000000,0x9f1473430a9e63d41d2e100d818bc910a9388857718647ff282ecc04c3c09e95
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-21 14:39:11,0xb221963cad5856c657647d7126a6fe6a47cac773,15951730634677402450,26522902207114482829187,0,4,60000000000000000,0xf558ff23c4ab35d59a5f70a73dac592bc2e76020db6cb224fd068d347975e618
